name,price,rating,review_count,images,highlights,description,specification,features,sub_category,category
DSC-RX10M4,"Rs. 131,4901",4.5,471,[],RX10 IV with 0.03 s. AF/25x optical zoom,,"{'Sensor type': '1.0-type (13.2 mm x 8.8 mm) Exmor® RS CMOS sensor, aspect ratio 3:2', 'Number of Pixels (Effective)': 'Approx. 20.1 MP', 'ISO Sensitivity (Still Image)(Recommended Exposure Index)': 'Auto (ISO100–12800, selectable with upper/lower limit),100/125/160/200/250/320/400/500/640/800/1000/1250/1600/2000/2500/3200/4000/5000/6400/8000/10000/12800 (Extendable to ISO64/80), Multi-Frame NR: Auto (ISO100–12800),100/200/400/800/1600/3200/6400/12800/25600', 'ISO Sensitivity (Movie)': 'Auto: (ISO100–ISO12800 Level, selectable with upper/lower limit), 100/125/160/200/250/320/400/500/640/800/1000/1250/1600/2000/2500/3200/4000/5000/6400/8000/10000/12800'}","['ZEISS® Vario-Sonnar® T* 24–600 mm8 F2.4–4 large-aperture high-resolution high-speed zoom lens ', 'Approx. 20.1 effective megapixel 13.2 x 8.8 mm (1.0-type) stacked phase-detection AF Exmor RS™ CMOS sensor with DRAM chip ', 'BIONZ X™ image processing engine for superior detail reproduction and noise reduction ', '0.03 s3 AF response with 315 focal-plane phase-detection AF points ', 'Up to 24fps5 continuous shooting with AF/AE for up to 2496 shots ']",Premium Compact,Compact Cameras
DSC-RX100M7,"Rs. 102,9901",4.5,150,[],"RX100 VII Compact Camera, Unrivalled AF",,"{'Sensor type': '1.0-type (13.2 mm x 8.8 mm) Exmor® RS CMOS sensor, aspect ratio 3:2', 'Number of Pixels (Effective)': 'Approx. 20.1 MP', 'ISO Sensitivity (Still Image)(Recommended Exposure Index)': 'Auto (ISO100–12,800, selectable with upper/lower limit), 100/125/160/200/250/320/400/500/640/800/1,000/1,250/1,600/2,000/2,500/3,200/4,000/5,000/6,400/8,000/10,000/12,800 (Extendable to ISO64/80), Multi-Frame NR: Auto (ISO100–12,800), 100/200/400/800/1,600/3,200/6,400/12,800/25,60022'}","['ZEISS® Vario-Sonnar T* 24–200 mm2 F2.8–4.5 high-resolution zoom lens ', '0.02-second3 AF, 357 focal-plane phase-detection and 425 contrast-detection AF points ', 'Real-time Tracking and Real-time Eye AF ', 'Up to 20fps4 Blackout-free Shooting5 with AF/AE tracking ', '4K HDR (HLG) recording1314, mic input, 180-degree flip touchscreen ']",Premium Compact,Compact Cameras
DSC-RX100M3,"Rs. 56,9902",4.5,513,[],RX100 III Advanced Camera with 1.0-type sensor,,"{'Sensor type': '1.0-type (13.2 mm x 8.8 mm) Exmor R CMOS sensor, aspect ratio 3:2', 'Number of Pixels (Effective)': 'Approx. 20.1 MP', 'ISO Sensitivity (Still Image)(Recommended Exposure Index)': 'Auto (ISO125-12800, selectable with upper/lower limit), 125/160/200/250/320/400/500/640/800/1000/1250/1600/2000/2500/3200/4000/5000/6400/8000/10000/12800 (Extendable to ISO80/100), Multi-Frame NR: Auto (ISO125-12800), 200/400/800/1600/3200/6400/12800/2560011 12', 'ISO Sensitivity (Movie)': 'Auto: (ISO125Level-ISO12800Level, selectable with upper/lower limit), 125/160/200/250/320/400/500/640/800/1000/1250/1600/2000/2500/3200/4000/5000/6400/8000/10000/12800'}","['20.1 MP (effective) 1.0-type Exmor® R CMOS sensor ', 'BIONZ X™ engine for superb detail and noise reduction ', 'ZEISS® Vario-Sonnar® T* 24-70 mm lens with F1.8-2.8 aperture ', 'Built-in OLED Tru-Finder™ electronic viewfinder (EVF) ', '180º - tiltable LCD for selfies ']",Premium Compact,Compact Cameras
DSC-RX100M5A,"Rs. 80,4901",4.5,51,[],RX100 V The premium 1.0-type sensor compact camera with superior AF performance,,"{'Sensor type': '1.0-type (13.2 mm x 8.8 mm) Exmor® RS CMOS sensor, aspect ratio 3:2', 'Number of Pixels (Effective)': 'Approx. 20.1 MP', 'ISO Sensitivity (Still Image)(Recommended Exposure Index)': 'Auto (ISO125-12800, selectable with upper/lower limit),125/160/200/250/320/400/500/640/800/1000/1250/1600/2000/2500/3200/4000/5000/6400/8000/10000/12800 (Extendable to ISO80/100), Multi-Frame NR: Auto (ISO125-12800), 200/400/800/1600/3200/6400/12800/256001819', 'ISO Sensitivity (Movie)': 'Auto: (ISO125Level-ISO12800Level, selectable with upper/lower limit), 125/160/200/250/320/400/500/640/800/1000/1250/1600/2000/2500/3200/4000/5000/6400/8000/10000/12800'}","['0.05-sec.2 AF response with 315 focal-plane phase-detection AF points ', 'Up to 24fps3 continuous shooting with AF/AE for up to 233 shots7 ', 'Approx. 20.1 effective megapixel 13.2 x 8.8 mm (1.0-type) stacked CMOS sensor with DRAM chip ', 'ZEISS® Vario-Sonnar® T* Lens ', 'Up to 960fps11 super slow motion6 ']",Premium Compact,Compact Cameras
ZV-1M2,"Rs. 86,9901",4.0,8,"['https://www.sony.co.in/image/07eb08cb6a21a370c25454bb7ae91429?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/ebb701f3663758896a5244a54f5dec24?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/49310986d0a48df74b5b3cdf40fc969f?fmt=png-alpha&wid=676&hei=400', None, None]",Vlog Camera ZV-1 II,https://www.sony.co.in/electronics/cyber-shot-compact-cameras/zv-1m2/buy,{},"['Versatile 18–50 mm2 wide-angle zoom lens ideal for vlogging ', 'Large 1.0-type image sensor for impressive image quality ', 'Built-in Intelligent Three-Capsule Mic and supplied wind screen for clear voice recording ', 'Touch operation, Bokeh Switch, and the Product Showcase Setting for vlogging with ease ', '292 g8 lightweight design for great portability and creative freedom ']",Vlog Camera,Compact Cameras
