name,thumbnail
LinkBuds Open,https://sony.scene7.com/is/image/sonyglobalsolutions/Primary_image_1200-white?$mediaCarouselSmall$&fmt=png-alpha
WF-C510,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
WF-C700N,https://sony.scene7.com/is/image/sonyglobalsolutions/C510_Primary_image_white?$mediaCarouselSmall$&fmt=png-alpha
WF-1000XM5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
LinkBuds S,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
WF-C500,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
