name,price,rating,review_count,images,highlights,specification,features,sub_category,category,description,model,combo
ECM-B1M,"Rs. 29,6901",5,1,"['https://www.sony.co.in/image/1128ce6316cdca841f1fa3d284d100d5?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/c48b61a236d7f38f1dc7bdb05e2ac5e4?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/5260aad38f06ebce6ee7b7c17eb452c7?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None]",Shotgun Microphone,[],"['Compact, lightweight design, 99.3 mm (4) long, and 77.3 g (2.8 oz) ', 'Pickup pattern: Super-directional/Unidirectional/Omnidirectional (selectable) ', 'Digital-interface compatible Multi Interface Shoe for clear sound ', 'Comprehensive manual control for optimal sound capture ', 'Wind screen supplied ']",['Microphones'],Camera Accessories,,,
ECM-GZ1M,"Rs. 7,2901",2,1,['https://www.sony.co.in/image/922e21848fc7742094662634fbe6f00b?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9'],Gun zoom microphone,[],"['Powered and controlled by your camera ', 'Zoom mic mode adjusts audio range to match video zoom position. Mono microphone only ', 'Gun mic mode lets you target and record sound in a specific direction ', 'Attaches easily to camera with an Active Interface shoe ', 'Compatibility information: Go to Support Page']",['Microphones'],Camera Accessories,,,
ECM-M1,,,0,"['https://www.sony.co.in/image/ad161efdba859ea39d653ce9016c313e?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/9aae2f6fa5065000deec2233231279f8?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/c524e76af68002b4f61ca61ec0989938?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None, None, None, None, None]",ECM-M1 shotgun microphone,[],"['Eight audio recording modes including stereo, for targeted sound pickup ', 'Compact shotgun microphone with digital signal processing ', 'Effective noise and rumble suppression for clear, high-quality recording ', 'Cable- and battery-less Multi Interface (MI) Shoe with digital audio interface ', 'Intuitive mode selection dial with lock for easy operation ']",['Microphones'],Camera Accessories,,,
ECM-S1,,,0,"['https://www.sony.co.in/image/314f3aa7adf86a195e63e1e3ac89d4f4?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/aa2d3d6d422b90f1f4f1df5b0220230d?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/3f178eb5ffde258c1250631ebaea1746?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None, None, None, None, None]",ECM-S1 Streaming Microphone,[],"['High-quality sound with minimal delay from a portable streaming microphone ', 'Compact, lightweight, easy to carry and to operate either indoors or outdoors ', 'Both wired and wireless connections, allowing connectivity with many devices ', 'Wireless distribution with low latency and superb digital sound quality ', 'High-quality microphone capsules and noise-cut filter for superb sound quality ']",['Microphones'],Camera Accessories,,,
ECM-W3,"Rs. 39,9901",,0,"['https://www.sony.co.in/image/2d51cf91820185f5bf8ee2c41c7f479b?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/5b304830d3ee7625a29e9ad4f57d3610?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/1b8c421f84e8cd8eb8c580ad28666804?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None, None, None, None, None]",ECM-W3 Wireless Microphone,[],"['High-quality digital sound recording ', 'Outstanding dual-channel digital sound transmission ', 'Cable-free convenience with wireless transmission and Multi Interface (MI) Shoe ', 'Compact, lightweight, highly portable, ideal for vlogging and interviews ', 'Versatile with many types of connectivity ']",['Microphones'],Camera Accessories,,,
ECM-W3S,,,0,"['https://www.sony.co.in/image/daabfe2763b307deba6e0851663c4e18?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/39e0fc9c93e2fa68f6db240148c126ba?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/0fb6c121ed74fdd1719c5a095f6e77cd?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None, None, None, None, None]",ECM-W3S Wireless Microphone,[],"['High-quality digital sound recording ', 'Outstanding single-channel digital sound transmission ', 'Cable-free convenience with wireless transmission and Multi Interface (MI) Shoe ', 'Compact, lightweight, highly portable and ideal for vlogging ', 'Versatile with many types of connectivity ']",['Microphones'],Camera Accessories,,,
ECM-XYST1M,"Rs. 11,4901",4.5,5,['https://www.sony.co.in/image/006822ec52e7ce0caa252bc057e14bac?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9'],XYST1M Stereo Mic For Multi Interface Shoe,[],"['Record high quality sound in detail ', 'Adjust sound capture across a wide frame ', ""At just 100 g, it's easy to fit and carry on your camera "", 'A microphone terminal cable is provided for plug-in power ']",['Microphones'],Camera Accessories,,,
FDR-AX43A,"Rs. 87,9902",4.5,8,"['https://m.media-amazon.com/images/I/71wsd2jLU5L._SL1500_.jpg', 'https://m.media-amazon.com/images/I/71d0x6s7NBL._SL1500_.jpg']",AX43A 4K Handycam® with Exmor R™ CMOS sensor,"{'Sensor type': '1/2.5 type (7.20 mm) back-illuminated Exmor R® CMOS Sensor', 'Effective Pixels (Video)': 'approx. 8.29 Megapixels (16:9)15', 'Lens type': 'ZEISS Vario-Sonnar® T*', 'Optical zoom': '20x', 'Clear Image Zoom': '4K: 30x, HD: 40x16', 'Screen type': '7.5 cm (3.0 type) Xtra Fine LCD™ display (921 600 dots) Wide (16:9)'}","['Balanced Optical SteadyShot with 5-axis Intelligent Active mode13 ', '4K Ultra HD (3,840 x 2,160) recording ', '26.8 mm714 wide-angle ZEISS® Vario-Sonnar T* lens ', '20x optical zoom with 30x/40x (4K/HD)8 Clear Image Zoom ', 'Highlight Movie Maker ']",['4K'],Handycam Camcorder,,[],[]
GP-VPT2BT,"Rs. 10,5901",5,9,"['https://www.sony.co.in/image/0e4c3fb8c9df7277bda16b045d2a616c?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/2a977797386da41f34bf45df7c8d1317?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/10eeffacb1bbaa65e12359c2b4d8e49a?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None]",Shooting Grip With Wireless Remote Commander,"['Dimensions (W x H x D): [Grip] Approx. 49.5 × 173.0 × 42.0 mm (2 × 6-7/8 × 1-11/16) ', 'Dimensions (W x H x D): [Tripod] Approx. 146.5 × 133.5 × 163.0 mm (5-7/8 × 5-3/8 × 6-1/2) ', 'Weight: [Black] 215 g (7.6 oz), [White] 4 186 g (6.6 oz) ', 'Maximum load: 1.5 kg (53.0 oz) ', 'Tilting angle: [Grip] Up: 80 degrees, Down: 90 degrees; [Tripod] Up: 40 degrees, Down: 90 degrees ']",[],['Tripods & Shooting Grips'],Camera Accessories,,,
GP-X2,"Rs. 14,9901",,0,"['https://www.sony.co.in/image/6c5f4412c3ec7b4b73d113cae8b7f770?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/bd4bb63c4411fe322ebcd34d60d9e52b?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/944e2a20bc22ac7156d72522b1d97fe0?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None, None]",Grip Extension,"['Dimensions (W x H x D): Approx. 124.0 x 23.3 x 57.2 mm (5 x 0.31 x 2.38) ', 'Weight: Approx. 75g (2.7 oz) ', 'With tripod screw hole ', 'Battery can be changed while the grip is attached to the camera body ']",[],['Vertical Grips & Accessories'],Camera Accessories,,,
