name,price,rating,review_count,images,highlights,description,specification,features,sub_category,category
SEL1625G,"Rs. 124,9901",,,"['https://www.sony.co.in/image/ef01e2115cb9356701c7a12807c47ddb?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/ef2641a43c4d8edb1e76e7b40e60d6c4?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/c97fa72937a7fcc0d7f685afa3847862?fmt=png-alpha&wid=676&hei=400', None, None, None, None, None]",FE 16–25mm F2.8 G,https://www.sony.co.in/electronics/camera-lenses/sel1625g/buy,"{'Minimum focus distance': '0.18(W)–0.24(T)(AF), 0.17(W)–0.22(T)(MF) m (0.59(W)–0.79(T)(AF), 0.56(W)–0.73(T)(MF) ft)', 'Maximum Magnification ratio (x)': '0.20 (AF), 0.23 (MF)', 'Filter Diameter (mm)': '67', 'Weight': '409 g (14.5 oz)'}","['A high-performance 16–25 mm wide-angle zoom G Lens that is compact and lightweight ', 'Three ED glass elements, three aspherical elements, and one ED Aspherical glass element for high resolution ', 'Stunning close-ups with smooth bokeh enhanced by an F2.8 aperture and 11 aperture blades ', 'Refined AF for outstanding speed, reliable tracking, and quiet operation ', 'Full creative control with independent focus, zoom, and aperture rings ']",E-mount,Lenses
SELC1635G,"Rs. 679,9901",5.0,1.0,[],FE C 16–35 mm T3.1,,"{'Minimum focus distance': '0.28 m (0.92 ft)', 'Maximum Magnification ratio (x)': '0.19', 'Filter Diameter (mm)': '-', 'Weight': '1,390 g (49.1 oz)'}","['Cinematic images with beautiful bokeh ', 'Responsive manual control for content creators ', 'Highly versatile control ', 'Advanced optical design ', 'Precise, responsive manual focus ']",E-mount,Lenses
SEL24240,"Rs. 79,9901",4.5,69.0,"['https://www.sony.co.in/image/3c7b0e2c406e8c3dd11eb6b974e81af4?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/c203d453e4431f65070231ed9e7899d0?fmt=png-alpha&wid=676&hei=400']",FE 24–240 mm F3.5-6.3 OSS,https://www.sony.co.in/electronics/camera-lenses/sel24240/buy,"{'Minimum focus distance': '0.5-0.8 m (1.64-2.63 ft)', 'Maximum Magnification ratio (x)': '0.27x', 'Filter Diameter (mm)': '72 mm', 'Weight': '780 g (27.6 oz)'}","['24 mm wide end for more dynamic perspectives ', '10x zoom ', 'Circular 7-blade aperture for beautiful defocus effects ', 'Built-in OSS (Optical SteadyShot™) image stabilisation ', 'Dust and moisture resistant design ']",E-mount,Lenses
SEL85F18,"Rs. 55,9901",5.0,90.0,"['https://www.sony.co.in/image/c0f04316bc61cb587fb6c7606e564c52?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/cc23b1f4445d02ec8b945a74465c2572?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/decb9b3d2d94ca040a83b60e50a0e722?fmt=png-alpha&wid=676&hei=400']",FE 85mm F1.8,https://www.sony.co.in/electronics/camera-lenses/sel85f18/buy,"{'Minimum focus distance': '0.8 m (2.63 ft)', 'Maximum Magnification ratio (x)': '0.13', 'Filter Diameter (mm)': '67', 'Weight': '371 g (13.1 oz)'}","['Mid-range telephoto prime ', 'ED glass for chromatic aberration compensation ', 'Circular 9-blade aperture for beautiful defocus effect ', 'Linear motor for precise, quiet focusing ', 'Dust- and moisture-resistant design2 ']",E-mount,Lenses
SEL50F14Z,"Rs. 130,9901",4.5,8.0,[],Planar T* FE 50mm F1.4 ZA,,"{'Minimum focus distance': '0.45 m (1.48 ft)', 'Maximum Magnification ratio (x)': '0.15 x', 'Filter Diameter (mm)': '72 mm', 'Weight': '778 g (27.5 oz)'}","['ZEISS F1.4 standard prime ', 'ZEISS® T* Coating reduces flare and ghosting ', '11-blade circular aperture for smooth bokeh ', 'SSM (Super Sonic wave Motor) for fast, silent autofocus ', 'Dust and moisture resistant design ']",E-mount,Lenses
SEL70200GM,"Rs. 204,9901",5.0,50.0,"['https://www.sony.co.in/image/760bbcc1c6ab841ec5f28b080d652e20?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/08eafe6963c3456cd06c31b6eb43ff32?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/08ce6e4fb57d5ea030b12b0872f8dcba?fmt=png-alpha&wid=676&hei=400', None]",FE 70-200 mm F2.8 GM OSS,https://www.sony.co.in/electronics/camera-lenses/sel70200gm/buy,"{'Minimum focus distance': '0.96 m', 'Maximum Magnification ratio (x)': '0.25x', 'Filter Diameter (mm)': '77 mm', 'Weight': '1480 g (without tripod mount)'}","['Premium G Master Series telephoto zoom lens ', 'Sony Nano AR Coating to eliminate flare and ghosting ', 'Circular 11-blade aperture for beautiful defocus effects ', 'Built-in Optical SteadyShot™ image stabilisation ', 'Dust and moisture resistant design ']",E-mount,Lenses
SEL300F28GM,"Rs. 599,9901",5.0,7.0,"['https://www.sony.co.in/image/7a8b526fa49504271bd8dcbc7a903b9e?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/687abaace3194390d3b96f41a9ceaa2a?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/174323f49c6bcfd5106bd2ef6c22e9e7?fmt=png-alpha&wid=676&hei=400', None, None]",FE 300mm F2.8 GM OSS,https://www.sony.co.in/electronics/e-mount-lenses/sel300f28gm/buy,"{'Minimum focus distance': '2 m (6.57 ft)', 'Maximum Magnification ratio (x)': '0.16', 'Filter Diameter (mm)': '40.5', 'Weight': '1470 g (51.9 oz) (Without tripod mount)'}","['Premium G Master series large-aperture telephoto lens ', 'Ideally balanced, and the lightest lens2 ', 'Breathtaking G Master resolution ', 'Beautiful bokeh brings subjects to the fore ', 'Fast, precise AF is also quiet and low in vibration ']",E-mount,Lenses
SEL2470Z,"Rs. 83,9901",4.5,54.0,"['https://www.sony.co.in/image/81b165862cb6599169bb5f47d426cd26?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/f2cdb7e3886c112444ca214cdb9e1ab5?fmt=png-alpha&wid=676&hei=400']",Vario-Tessar® T* FE 24-70 mm F4 ZA OSS,https://www.sony.co.in/electronics/camera-lenses/sel2470z/buy,"{'Minimum focus distance': '0.4 m (1.32 ft)', 'Maximum Magnification ratio (x)': '0.20x', 'Filter Diameter (mm)': '67 mm', 'Weight': '426 g (15.1 oz)'}","['35mm Full-Frame standard zoom lens from ZEISS® ', 'Constant F4 maximum aperture throughout zoom range ', 'ZEISS® T* anti-reflective coating minimises flare ', 'Circular 7-blade aperture for beautiful defocus effects ', 'Dust and moisture resistant design ']",E-mount,Lenses
SEL85F14GM2,"Rs. 180,9901",5.0,3.0,"['https://www.sony.co.in/image/35e3a84bc9b67be3a660536ae112018f?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/31d3fbf6d729317d90241e0a548003fc?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/17acae38d6d847fa0fdc79b76ea28fec?fmt=png-alpha&wid=676&hei=400', None, None, None, None, None, None]",FE 85 mm F1.4 GM II,https://www.sony.co.in/electronics/camera-lenses/sel85f14gm2/buy,"{'Minimum focus distance': '0.85 (AF), 0.80 (MF) m (2.79 [AF], 2.63 [MF] ft)', 'Maximum Magnification ratio (x)': '0.11 (AF), 0.12 (MF)', 'Filter Diameter (mm)': '77', 'Weight': '642 g (22.7 oz)'}","['Premium G Master Series mid-range telephoto prime ', 'Two XA elements for high resolution and two ED elements for natural colour ', 'Large F1.4 maximum aperture and 11-blade circular aperture unit deliver exquisite bokeh ', 'Refined AF performance that is fast, precise and quiet ', 'Two focus hold buttons, an AF/MF switch, Linear Response MF and an aperture ring for total control ']",E-mount,Lenses
SEL50F18F,"Rs. 21,9901",4.0,65.0,[],FE 50mm F1.8,,"{'Minimum focus distance': '0.45 m (1.48 ft)', 'Maximum Magnification ratio (x)': '0.14 x', 'Filter Diameter (mm)': '49 mm', 'Weight': '186 g (6.6 oz)'}","['Compact, lightweight, easy to carry ', 'F1.8 maximum aperture for low-light shots ', '7-blade circular aperture for beautiful defocus effects ', '75mm (35 mm equivalent) focal length with APS-C sensor ']",E-mount,Lenses
