name,price,rating,review_count,images,highlights,specification,features,sub_category,category
NPA-MQZ1K,"Rs. 30,3901",4.0,3.0,"['https://www.sony.co.in/image/1d2f8cde09fe7919f87dcce73893bad2?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/263f645dc614fa198ec7d6bcf0db401f?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None, None]",Multi Battery Adaptor Kit,"['Dimensions (W × H × D): Approx. 123.4 x 67.8 x 66.2 mm (4.88 x 2.75 x 2.63) ', 'Weight: Approx. 400 g (14.2 oz) (not including battery) ']",[],Batteries & Chargers,Camera Accessories
VG-C4EM,"Rs. 33,9901",4.5,17.0,"['https://www.sony.co.in/image/5eaea75b72b2b88f529fa36dba228377?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/e2452e9715cda0dd5f19379983e3eb14?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/d8e17c098f24aab1fb24acb2a513a419?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None, None, None]",Vertical Grip,"['Dimensions (W × H × D): Approx. 128.8 x 108.9 x 67 mm (5 1/8 x 4 3/8 x 2 3/4) ', 'Weight: Approx. 290 g (10.2 oz) ', 'Battery type: NP-FZ100 ']",[],Vertical Grips & Accessories,Camera Accessories
VG-C2EM,"Rs. 27,0901",4.5,13.0,"['https://www.sony.co.in/image/fc13db5a7f1e22dcdd17830fe203ba00?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/ae3f9c2a1d7adddd54b49e7c84ecd871?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/1f82668a07034554169941b522e1ed95?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None]",Vertical Grip,"['Dual battery tray (batteries not included) ', 'Dust and moisture resistant ', 'Good for horizontal and vertical shots ', 'Stable, controlled shooting ', 'Three buttons for custom-assign functions ']",[],Vertical Grips & Accessories,Camera Accessories
GP-X2,"Rs. 14,9901",,,"['https://www.sony.co.in/image/6c5f4412c3ec7b4b73d113cae8b7f770?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/bd4bb63c4411fe322ebcd34d60d9e52b?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/944e2a20bc22ac7156d72522b1d97fe0?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None, None]",Grip Extension,"['Dimensions (W x H x D): Approx. 124.0 x 23.3 x 57.2 mm (5 x 0.31 x 2.38) ', 'Weight: Approx. 75g (2.7 oz) ', 'With tripod screw hole ', 'Battery can be changed while the grip is attached to the camera body ']",[],Vertical Grips & Accessories,Camera Accessories
VG-C5,"Rs. 39,9901",5.0,1.0,"['https://www.sony.co.in/image/eac458977f08306fadb471ef2264d7a6?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/5d3e4715360bc8e4c41779097459109a?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/7846412c884fe849fbd325a16c8d7b40?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None, None, None]",Vertical Grip,"['Dimensions (W x H x D): Approx. 136.1 x 108.9 x 68.3 mm (5.36 x 4.29 x 2.67) ', 'Weight: Approx. 8.3 oz (236 g) ', 'Battery type: NP-FZ100 ']",[],Vertical Grips & Accessories,Camera Accessories
RMT-P1BT,"Rs. 5,2901",4.5,7.0,"['https://www.sony.co.in/image/d89c0b2bce8c93e975e56a84cc07d7a7?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/9c376c456e35318f208ca15d96062faf?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/579a84fe594d31b6d3d04b368d03808f?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None]",Remote Commander,"['Dimensions (W × H × D): Approx. 33 x 116.5 x 15.1 mm (1 5/16 x 4 5/8 x 5/8) ', 'Weight: Approx. 35 g (1.3 oz) without the battery ', 'Communication: Bluetooth Standard Ver. 4.2 (2.4 GHz band) ', 'Coverage: 360°, Range: 5 m (16.4 ft) ', 'Dust and Moisture Resistance2 ']",[],Vertical Grips & Accessories,Camera Accessories
ECM-XYST1M,"Rs. 11,4901",4.5,5.0,['https://www.sony.co.in/image/006822ec52e7ce0caa252bc057e14bac?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9'],XYST1M Stereo Mic For Multi Interface Shoe,[],"['Record high quality sound in detail ', 'Adjust sound capture across a wide frame ', ""At just 100 g, it's easy to fit and carry on your camera "", 'A microphone terminal cable is provided for plug-in power ']",Microphones,Camera Accessories
ECM-B1M,"Rs. 29,6901",5.0,1.0,"['https://www.sony.co.in/image/1128ce6316cdca841f1fa3d284d100d5?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/c48b61a236d7f38f1dc7bdb05e2ac5e4?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/5260aad38f06ebce6ee7b7c17eb452c7?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None]",Shotgun Microphone,[],"['Compact, lightweight design, 99.3 mm (4) long, and 77.3 g (2.8 oz) ', 'Pickup pattern: Super-directional/Unidirectional/Omnidirectional (selectable) ', 'Digital-interface compatible Multi Interface Shoe for clear sound ', 'Comprehensive manual control for optimal sound capture ', 'Wind screen supplied ']",Microphones,Camera Accessories
ECM-M1,,,,"['https://www.sony.co.in/image/ad161efdba859ea39d653ce9016c313e?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/9aae2f6fa5065000deec2233231279f8?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/c524e76af68002b4f61ca61ec0989938?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None, None, None, None, None]",ECM-M1 shotgun microphone,[],"['Eight audio recording modes including stereo, for targeted sound pickup ', 'Compact shotgun microphone with digital signal processing ', 'Effective noise and rumble suppression for clear, high-quality recording ', 'Cable- and battery-less Multi Interface (MI) Shoe with digital audio interface ', 'Intuitive mode selection dial with lock for easy operation ']",Microphones,Camera Accessories
ECM-W3,"Rs. 39,9901",,,"['https://www.sony.co.in/image/2d51cf91820185f5bf8ee2c41c7f479b?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/5b304830d3ee7625a29e9ad4f57d3610?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/1b8c421f84e8cd8eb8c580ad28666804?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None, None, None, None, None]",ECM-W3 Wireless Microphone,[],"['High-quality digital sound recording ', 'Outstanding dual-channel digital sound transmission ', 'Cable-free convenience with wireless transmission and Multi Interface (MI) Shoe ', 'Compact, lightweight, highly portable, ideal for vlogging and interviews ', 'Versatile with many types of connectivity ']",Microphones,Camera Accessories
